0.07	319.13	17393.10	54501.59	0.01	0.01	0.01	0.22	0.22	0.20	0.00	0.01	0.01
0.06	35.50	1599.07	45048.59	0.01	0.01	0.01	0.21	0.22	0.24	0.00	0.01	0.01
0.06	119.71	2153.32	17987.34	0.02	0.01	0.01	0.24	0.22	0.23	-0.02	0.01	0.01
0.06	64.60	2614.52	40474.24	0.00	0.01	0.01	0.20	0.17	0.16	0.01	0.01	0.01
0.15	4.61	238.99	51846.96	0.00	0.02	0.00	0.21	0.26	0.22	0.03	0.02	0.04
0.05	81.20	3763.23	46346.59	0.00	0.00	0.00	0.25	0.21	0.20	0.00	0.01	0.01
0.05	11.20	482.95	43105.22	0.00	0.01	0.01	0.22	0.23	0.23	0.00	0.01	0.00
0.06	16.87	815.62	48361.59	0.01	0.00	0.00	0.23	0.22	0.20	0.00	0.01	0.00
0.05	8.14	474.13	58246.44	0.01	0.01	0.01	0.28	0.24	0.24	-0.02	0.02	0.00
0.11	0.55	52.86	96163.11	0.01	0.01	0.02	0.22	0.20	0.19	0.03	0.01	0.00
0.05	8.54	397.32	46503.56	0.00	0.00	0.01	0.27	0.24	0.24	0.00	0.02	0.00
0.05	5.63	253.53	45053.89	0.00	0.00	0.01	0.20	0.22	0.20	0.00	0.00	0.00
0.06	9.75	450.87	46255.62	0.00	0.00	0.01	0.23	0.22	0.24	0.00	0.02	0.00
0.06	5.45	222.08	40738.61	0.00	0.00	0.00	0.25	0.23	0.22	0.00	0.02	-0.01
0.06	5.16	347.69	67428.54	0.00	0.01	0.01	0.26	0.23	0.27	0.00	0.01	-0.01
0.07	0.33	14.45	43912.87	0.01	0.01	0.01	0.23	0.25	0.18	-0.01	0.02	0.01
0.05	63.98	2604.31	40703.67	0.00	0.01	0.00	0.22	0.22	0.23	0.00	0.01	0.00
0.04	60.78	2135.95	35140.73	0.00	0.00	0.00	0.22	0.21	0.18	0.00	0.00	-0.01
0.06	46.46	1551.29	33393.22	0.00	0.01	0.00	0.23	0.28	0.21	0.01	0.01	0.00
0.05	10.40	283.12	27220.32	0.00	0.00	0.00	0.29	0.25	0.17	0.01	0.00	0.00
0.04	10.93	284.17	26006.23	0.01	0.00	0.00	0.24	0.25	0.13	-0.01	0.03	-0.04
0.10	0.86	27.39	31921.56	0.02	0.02	0.01	0.36	0.22	0.16	0.01	0.02	-0.02
0.12	8.21	275.32	33526.15	0.02	0.02	0.02	0.22	0.21	0.20	0.01	0.02	0.02
0.07	38.02	961.31	25285.73	0.00	0.00	0.00	0.22	0.22	0.21	-0.02	0.06	0.03
0.04	9.88	248.90	25199.78	0.00	0.00	0.00	0.26	0.25	0.21	-0.02	0.03	0.01
0.08	10.51	319.92	30432.45	0.00	0.00	0.00	0.33	0.30	0.26	-0.05	0.01	0.01
0.10	5.42	154.07	28446.76	0.00	0.00	0.00	0.31	0.28	0.23	0.00	0.04	0.02
0.08	2.00	47.15	23558.98	-0.01	-0.01	-0.01	0.19	0.31	0.23	-0.01	0.05	0.02
0.10	1.32	36.83	27991.26	-0.01	-0.01	0.00	0.30	0.32	0.26	0.01	0.03	0.02
0.11	2.93	80.36	27405.56	-0.01	-0.01	-0.01	0.23	0.23	0.19	0.03	0.05	0.02
0.07	2.89	31.44	10865.59	0.01	-0.01	0.00	0.33	0.33	0.28	-0.03	0.08	0.02
0.08	7.13	95.95	13453.67	0.00	0.00	-0.01	0.15	0.22	0.19	0.00	0.02	0.00
0.08	2.06	61.67	29922.31	0.00	0.00	0.00	0.23	0.28	0.20	0.01	0.01	0.00
0.06	4.24	88.85	20964.77	-0.01	0.00	-0.01	0.16	0.26	0.20	0.02	0.01	0.00
0.04	7.20	131.76	18294.72	0.00	-0.01	-0.01	0.30	0.26	0.21	-0.04	0.06	0.03
0.05	19.95	395.50	19827.00	0.00	-0.01	0.00	0.28	0.25	0.26	-0.04	0.06	0.03
0.14	77.32	1518.40	19636.78	0.02	0.01	0.01	0.23	0.24	0.29	0.00	0.03	0.04
0.06	143.43	3827.88	26688.24	0.00	0.00	0.00	0.27	0.19	0.23	-0.11	0.07	-0.01
0.03	42.76	373.41	8732.65	0.00	-0.01	-0.01	0.27	0.22	0.19	-0.17	0.07	-0.04
0.08	9.47	173.21	18294.35	0.00	0.00	0.00	0.31	0.29	0.33	-0.10	0.10	-0.01
0.09	17.42	448.13	25722.26	-0.02	0.01	0.01	0.24	0.27	0.26	-0.09	0.08	0.01
0.14	3.73	34.35	9210.16	-0.02	-0.01	-0.01	0.22	0.28	0.28	0.03	0.07	0.04
0.05	3.56	17.84	5013.32	0.00	0.00	0.00	0.36	0.28	0.23	-0.16	0.06	0.04
0.14	2.99	24.39	8169.98	-0.02	0.00	0.00	0.19	0.27	0.23	0.01	0.09	0.01
0.12	9.34	166.15	17785.19	0.01	0.01	0.01	0.24	0.31	0.24	-0.18	0.19	-0.02
