Turkey	0.14	77.32	1518.40	19636.78	0.019409464	0.013056378	0.013551691	0.232682105	0.244969091	0.29110625	0.00476604	0.030434314	0.04352936
Russia	0.06	143.43	3827.88	26688.24	-0.000352014	-0.002683071	0.000781441	0.270032222	0.192580909	0.23087875	-0.109470329	0.071213382	-0.00516677
Ukraine	0.03	42.76	373.41	8732.65	-0.002544493	-0.007153248	-0.009765912	0.269171429	0.221408182	0.194015	-0.173841583	0.070628147	-0.036679229
Belarus	0.08	9.47	173.21	18294.35	-0.0023	-0.004925159	-0.000830135	0.309406667	0.29339	0.3340975	-0.097160416	0.10111048	-0.006136597
Kazakhstan	0.09	17.42	448.13	25722.26	-0.0219	0.00731304	0.014585406	0.239054286	0.272193636	0.26128875	-0.085414947	0.084339482	0.014701353
Georgia	0.14	3.73	34.35	9210.16	-0.0212	-0.010817773	-0.00980588	0.216026667	0.277672727	0.28298875	0.029489319	0.067050609	0.039584041
Moldova	0.05	3.56	17.84	5013.32	-0.000590284	-0.002165258	-0.000597488	0.356501429	0.278975455	0.2308325	-0.162904916	0.058794448	0.036461447
Armenia	0.14	2.99	24.39	8169.98	-0.0159	-0.004178588	0.000881116	0.189028571	0.270934545	0.22743	0.008124992	0.085925518	0.008456319
Azerbaijan	0.12	9.34	166.15	17785.19	0.009	0.011389188	0.012085526	0.242651429	0.312858182	0.23507125	-0.184747309	0.193275992	-0.020353541
Uzbekistan	0.14	30.60	172.52	5637.28	0.0198	0.011155759	0.020181358	0.233958571	0.247363636	0.26929875	-0.080155175	0.061044081	0.059119518
Tajikistan	0.09	8.30	22.43	2701.86	0.0138	0.021812142	0.020193592	0.199004286	0.164800909	0.18747	-0.142613443	0.072247008	0.044116257
Turkmenistan	0.21	5.31	82.48	15521.91	0.0188	0.011398171	0.016532981	0.413958571	0.247363636	0.26929875	-0.147334691	0.153622094	0.063899301
KyrgyzRepublic	0.07	5.90	19.40	3290.70	0.0137	0.010956093	0.018281671	0.168538571	0.200272727	0.32139	-0.097707909	0.032445233	0.011178302
India	0.25	1275.92	7356.73	5765.82	0.020744153	0.016214664	0.013386168	0.221146842	0.307952727	0.3456975	0.014461007	0.056020292	0.052410388
Pakistan	0.15	186.19	885.87	4757.87	0.027315291	0.023285325	0.020136026	0.188210526	0.176056364	0.15204	0.010870807	0.02302962	0.015190714
SriLanka	0.17	20.96	211.05	10067.25	0.01148361	0.012118234	0.005790628	0.271693158	0.273624545	0.3251475	0.012215748	0.048140303	0.047454518
Nepal	0.13	28.18	67.61	2399.77	0.0240009	0.014373621	0.011648768	0.183331053	0.246566364	0.3806575	0.009593058	0.017301076	0.017594062
IslamicRepublicofIran	0.07	78.47	1358.80	17316.08	0.025759452	0.015052757	0.013403661	0.296332105	0.415037273	0.3838725	-0.037579427	0.031581535	-0.014944045
Bangladesh	0.17	158.22	537.29	3395.91	0.024471155	0.014593166	0.011007684	0.183839474	0.253107273	0.28848625	0.001610567	0.03907087	0.049527794
Myanmar	0.27	51.42	262.62	5107.41	0	0.007793372	0.008152775	0.12381	0.127378182	0.200905	0.003783884	0.104005698	0.036015781
Egypt	0.14	86.80	997.34	11490.07	0.022658972	0.021768758	0.026461357	0.241965789	0.214884545	0.15854	0.002251871	0.031227461	0.010569889
Algeria	0.08	39.11	552.99	14137.94	0.025766577	0.016345653	0.020661626	0.279269474	0.322458182	0.46276375	-0.028979257	0.02121523	-0.002891535
Morocco	0.11	33.18	259.45	7819.59	0.019518911	0.013190719	0.011577074	0.260237895	0.286780909	0.33738375	-0.009902186	0.035834391	0.017576023
Tunisia	0.10	11.00	124.87	11354.46	0.021268702	0.010241918	0.012381027	0.259856316	0.241972727	0.23155625	-0.003317957	0.039636337	-0.003704687
SaudiArabia	0.05	30.77	1614.39	52465.67	0.041878554	0.028824171	0.024577988	0.207042632	0.22489	0.292555	-0.061580606	0.008834436	0.007151057
UnitedArabEmirates	0.09	9.30	612.83	65882.96	0.058993388	0.101404199	0.026887007	0.259220526	0.231417273	0.23162375	-0.053476494	-0.037343748	-0.00179532
Qatar	0.20	2.24	307.02	137340.66	0.045949996	0.104359749	0.066098414	0.259220526	0.231417273	0.23162375	-0.068202973	0.075350035	-0.021672042
Kuwait	0.07	4.00	283.62	70930.83	0.028476218	0.039699383	0.02971702	0.189312632	0.163753636	0.18895625	-0.039956645	0.03786288	-0.02861313
Bahrain	0.12	1.27	61.71	48661.36	0.030383572	0.062449201	0.026485138	0.213935789	0.243427273	0.25675125	-0.017134677	-0.001120464	0.002307602
Oman	0.16	3.72	160.70	43236.92	0.030192853	0.020027612	0.046050365	0.194707895	0.247131818	0.29800625	0.025193624	-0.002911972	-0.009213038
Japan	0.05	127.12	4766.02	37492.40	0.004390181	0.000861131	-0.000789116	0.313910526	0.24931	0.23087625	0.002513492	0.000811453	0.007579173
Mongolia	0.14	2.93	34.95	11947.93	0.0145	0.013908481	0.015257656	0.426736842	0.342980909	0.42210625	-0.079528027	0.04653087	0.057564568
Korea	0.25	50.42	1786.82	35435.86	0.01083703	0.005764295	0.005339437	0.354412105	0.317653636	0.30488375	0.056644063	0.033851819	0.019365042
China	0.78	1367.82	18228.36	13326.58	0.013099743	0.006139403	0.005113606	0.371166842	0.397990909	0.46299125	0.059663659	0.109163761	0.059814826
