Mongolia	4537.68	2.93	34.95	11947.93	0.0145	0.426736842	-0.079528027
Korea	407639.94	50.42	1786.82	35435.86	0.01083703	0.354412105	0.056644063
China	7287.46	1367.82	18228.36	13326.58	0.013099743	0.371166842	0.059663659
HongKongSAR	906.92	7.27	401.65	55274.50	0.014325792	0.288384211	0.016428798
TaiwanProvinceofChina	4720.94	23.43	1081.48	46150.59	0.01144896	0.265294737	0.046532931
Vietnam	567635.35	90.73	513.25	5657.02	0.018572466	0.171826842	0.037064637
Cambodia	8680.33	15.31	50.26	3282.02	0.0329	0.113541538	0.0226939
Thailand	3244.90	68.66	1068.42	15561.82	0.015448799	0.326844211	0.027262264
Malaysia	279.34	30.71	770.45	25089.18	0.026757332	0.369662105	0.013076464
Indonesia	2669878.65	252.17	2688.81	10662.92	0.017508786	0.359231053	0.009150775
Philippines	2643.06	100.15	694.93	6938.98	0.025518993	0.270978947	-0.032140091
Singapore	92.98	5.47	458.35	83798.43	0.027401515	0.381643158	0.018413169
Australia	729.11	23.61	1101.56	46648.16	0.013089484	0.260011579	-0.003623438
NewZealand	111.17	4.56	161.31	35416.73	0.011333152	0.227591579	-0.008091566
Brazil	622.01	202.78	3291.54	16232.33	0.019754826	0.192157368	-0.023331137
Argentina	375.91	42.67	854.47	20025.40	0.014168356	0.164085789	-0.026697485
Chile	45172.94	17.82	410.29	23025.21	0.016482164	0.238466111	0.00726703
Colombia	214453.93	47.66	640.12	13430.45	0.0179726	0.215688421	-0.009430509
Venezuela	35.18	30.21	542.20	17949.87	0.024534208	0.203155263	-0.035137875
Peru	177.66	30.81	373.52	12123.66	0.019313747	0.212724211	-0.036363981
Paraguay	12724.78	6.66	58.68	8814.72	0.026831809	0.230964737	-0.021299789
Uruguay	322.95	3.40	71.42	20980.52	0.006660016	0.157448421	-0.000851744
Ecuador	30.52	16.03	181.74	11339.30	0.023358923	0.178212105	-0.021301702
DominicanRepublic	632.32	9.88	138.69	14032.67	0.020555855	0.199443158	-0.000238499
Bolivia	16.21	10.56	70.37	6662.72	0.024834242	0.159246667	-0.022888539
SouthAfrica	1595.85	54.06	709.21	13119.24	0.022729334	0.216077895	-0.031769494
Kenya	1585.63	43.00	133.20	3097.70	0.032250554	0.218545789	-0.022386357
Tanzania	11736.28	46.74	128.33	2745.26	0.029118307	0.270187368	-0.021065578
Nigeria	20409.45	173.94	1054.31	6061.42	0.0278	0.127071111	-0.034547313
Ethiopia	250.12	88.35	145.41	1645.87	0.031691545	0.153936316	-0.034744603
Sudan	9.30	37.29	159.30	4271.94	0.026287065	0.099793158	0.002712426
Angola	370.70	25.79	177.52	6883.72	0.033557209	0.432239474	-0.068928717
RepublicofCongo	645.54	4.27	28.40	6643.37	0.030291923	0.276512105	-0.016394937
